Song_id,title,Singer_en,Singer_si,Genre_en,Genre_si,Lyricist_en,Lyricist_si,Composer_en,Composer_si,song_lyrics,Metaphor,Source domain,Target domain,Meaning
1,Abhisarikawange – අභිසාරිකාවන්ගේ,Gunadasa Kapuge,ගුණදාස කපුගේ,Classics,සම්භාව්ය,Sunil Ariyarathna,සුනිල් ආරියරත්න,Gunadasa Kapuge,ගුණදාස කපුගේ,"
 	    
				
   

	       	  
අභිසාරිකාවන්ගේ උන්මාද නෙතු අතරේ
	          
අයාලේ ගිය ජීවිතේ  ඔබෙනි ඵල ගැනුනේ
        
අභිසාරිකාවන්ගේ 


  
   
 
    
රාග ගිනි ජාලාවේ
         
ප්‍රේමයේ උණුසුම් සුසුමේ
               
වෙනස ඔබෙනි දැනුනේ…ඒ
	          
අයාලේ ගිය ජීවිතේ  ඔබෙනි ඵල ගැනුනේ

 
      
ආදරය යන වදනේ
          
මනු‍ලොවේ මිනිසත් භවයේ
              
මහිම ඔබෙනි හැඟුනේ…ඒ
	          
අයාලේ ගිය ජීවිතේ  ඔබෙනි ඵල ගැනුනේ

",රාග ගිනි ජාලාවේ,රාගය,ගිනි ජාලාව,රාගය ගිනි ජාලාවකි 
2,Ada Amuthuma Reyaki – අද අමුතුම රැයකි,H.R.Jothipala,එච්.ආර්.ජෝතිපාල,New Pop,නව පොප්,Karunarathna Abeysekara,කරුණාරත්න අබේසේකර,Sarath Dasanayaka,සරත් දසනායක,"  
    
    
   
    
    
       


 
අද අමුතුම රැයකි හොඳ සීතල පැයකි
	     	     	  
අඳුරු වළා වැලපී මගෙ හිත සතුට දකී 

 
 
ඝන නිල් වරලින්නේ මල් සුවදකි එන්නේ
	            	  
හද විනිවිද යන්නේ නෙත් සිත පිබිදෙන්නේ
 
    
  
 
නිලිපුල් වැනි දෑසේ සැතපී ඇති රහසේ
	     	    	 
තේරුම තොරාලා දෙනු මැන හිනහීලා


  
 
සුරලිත මුතු වරලේ අඩවන් සඳ බැබලේ
	              	
නා දළු බදු දෙතොලේ බිහිවෙයි මදු කොතොලේ

",සුරලිත මුතු වරලේ,වරලස ,සුරලිත මුතු ,මුතු වගේ ලස්සන වරලස
3,Ada andure ma – අඩ අඳුරේ මා,Clarence Wijewardena,ක්ලැරන්ස් විජේවර්ධන,Golden Pop,ගෝල්ඩන් පොප්,Clarence Wijewardena,ක්ලැරන්ස් විජේවර්ධන,Clarence Wijewardena,ක්ලැරන්ස් විජේවර්ධන,"
      


	     
අඩ අඳුරේ මා දෙනෙත් කවුලු හැර
	    
අලසව වැතිරී තනි යහනේ
          
ඔබ ගැන සිතමින් බලා සිටින්නෙමි
               
මුලු ලොව නිසලව නිදන වෙලේ

 
	      
දහසක් කවි කල්පනා මගේ
           
සිතෙහි හෙමිට පිළිසිඳෙහි තිබේ
         
එක්වී ඔබ සිහිනෙක දැවටී
              
නිනද සමඟ යහනට ඇවිදින්

 
	       
අලුයම බොල්පිණි තැවරී තෙත්වුනු
       
අඳුරේ සීතල සලුව යටින්
               
හොරෙන් හොරෙන් ඔබ යනවිට ඒ හඬ
              
කෙමෙන් බිඳී මට නෑසී යයි

 
	     
නිදිමත පලවා දෙනෙත් කවුලු හැර
           
ඔබ සොයනා මට ඔබ නොපෙනේ
          
දහසක් කවි කල්පනා මගේ
                
සිතෙහි යලිත් පිළිසිඳෙහි තිබේ
   
",අඳුරේ සීතල සලුව,අඳුර,සීතල සලුව , අඳුර නැමති සීතල සලුව 
4,Adanne Ai – අඬන්නෙ ඇයි,H.R.Jothipala,එච්.ආර්.ජෝතිපාල,Classics,සම්භාව්ය,Dharmasiri Gamage,ධර්මසිරි ගමගේ,M.K.Roksami,එම්.කේ.රොක්සාමි,"
    
       

 
                 	   
අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ
   		       
හෙළන්නෙ ඇයි කඳුළැලි ආදර නිල්මිණි දෑසේ
                 	    
අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ


     
      

 
     		     
ඔයාව ජීවිතයේ මට හමුවුණු මුල් දවසේ
      		     
සිනාවේ දෑසේ අහිංසක ආදරයයි තිබුණේ
       
     		     
කියාපු මිහිරි කතා තවමත් ඇහෙනවා වාගේ
      		        
ප්‍රියාවි රැකගන්නම් හද බලකොටුවෙහි මාගේ

 
                 	     
පරාද වෙන්න ඉඩක් නෑ අපි දෙන්නගේ ප්‍රේමේ
       	         
දිනන්නේ යන යන තැන ඔබ හින්දයි මා ලෝකේ
                 	   
අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ 
    
  
     		        
මැණිකේ සුවඳ මලයි පිපි බාධක කටු අකුලේ
      		        
සිටින්න දෝතින් ඒ මල නෙලනා තුරු මැණිකේ
               
        		  
දිලෙන්නේ එක තරුවයි සඳ වටකර පෙම් ලෝකේ
       		   
සඳ මැණිකෙයි මම තරුවයි පායන නිල් අහසේ

",සඳ මැණිකෙයි,මැණිකෙ,සඳ,සඳ වැනි මැණිකෙ
4,Adanne Ai – අඬන්නෙ ඇයි,H.R.Jothipala,එච්.ආර්.ජෝතිපාල,Classics,සම්භාව්ය,Dharmasiri Gamage,ධර්මසිරි ගමගේ,M.K.Roksami,එම්.කේ.රොක්සාමි,"
    
       

 
                 	   
අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ
   		       
හෙළන්නෙ ඇයි කඳුළැලි ආදර නිල්මිණි දෑසේ
                 	    
අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ


     
      

 
     		     
ඔයාව ජීවිතයේ මට හමුවුණු මුල් දවසේ
      		     
සිනාවේ දෑසේ අහිංසක ආදරයයි තිබුණේ
       
     		     
කියාපු මිහිරි කතා තවමත් ඇහෙනවා වාගේ
      		        
ප්‍රියාවි රැකගන්නම් හද බලකොටුවෙහි මාගේ

 
                 	     
පරාද වෙන්න ඉඩක් නෑ අපි දෙන්නගේ ප්‍රේමේ
       	         
දිනන්නේ යන යන තැන ඔබ හින්දයි මා ලෝකේ
                 	   
අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ 
    
  
     		        
මැණිකේ සුවඳ මලයි පිපි බාධක කටු අකුලේ
      		        
සිටින්න දෝතින් ඒ මල නෙලනා තුරු මැණිකේ
               
        		  
දිලෙන්නේ එක තරුවයි සඳ වටකර පෙම් ලෝකේ
       		   
සඳ මැණිකෙයි මම තරුවයි පායන නිල් අහසේ

",මම තරුවයි,මම,තරුව,මම තරුවකි 
5,Adara Duruthu Mahe – ආදර දුරුතු මහේ,Annesley Malawana,ඇනස්ලි මාලවන,Golden Pop,ගෝල්ඩන් පොප්,Unknown,නොදන්නා,Unknown,නොදන්නා,"  
        
        

 
                            
ආදර දුරුතු මහේ ජීවිතයක් තිබුණා
                              
ඊලඟ බිනර මහේ තනිකම මට දැනුනා
                            
ආදර මල් පිපුනා ආදර මල් මැරුණා
            
මා හද ඔබ පිලිරුව රදවා 
               
වෙන්වුනි අප දෙදෙනා

     
        
        
      

 
                              
කාලය පියඹනවා පාළුව වැලපෙනවා

ජීවිතයෙන් පිරි ආදර හමුවක 
             
සැමරුම් සිහිවෙනවා

 
                                 
ඒ පෙම් සුවද ලයේ තාමත් මතක තියේ

සිහිනෙක හෝ ඔබ ආයෙත් එනු මැන 
             
ඊලඟ දුරුතු මහේ
   
",ආදර මල් පිපුනා,ආදරය,පිපුන මල,ආදරය පිපුන මලකි
6,Adara Gangulehi – ආදර ගඟුලෙහි,Shreemathi Thilakarathna,තිලකරත්න ශ්‍රී,Duets,යුගල,Premakeerthi De Alwis,ප්‍රේමකීර්ති ද අල්විස්,Victor Rathnayaka,වික්ටර් රත්නායක,"

      
      
      
       


                            
ආදර ගඟුලෙහි ඉවුරෙ රැඳී සහන පවන් සැලූ
                      
මා ළඟ ඔබ සිටිනා විටදී ලොවම දැකුම්කලු 

 
        
     
         
       

  
                             
මල් වැල් වන විල් පිරී ගියේ සෙවණ දෙවන්නලු
                      
බිඟු නඳ විහඟුන් ඉගිල්ලුනේ මිහිරෙ රැඳෙන්නලු
                        
පුන් සඳ නැගුනෙත් අහස් තලේ අපට බලන්නලු
                        
දෙනෙතට කඳුලැලි තුරුල් කලේ පෙමට අඬන්නලු
        
පෙමට අඬන්නලු

  
                             
මී වද මී පැණි පිරී ගියේ දෙතොලෙ රඳන්නලු
                   
දේදුනු ඕවිලි මැවී ගියේ ලොවම පිනන්නලු
                     
මේ ලොව මා ඉපදුනේ ප්‍රියේ ඔබව ලබන්නලු
                        
ඒ හැර ලැබුණත් පලක් නැතේ ඉසුරු මැණික් මලු
        
ඉසුරු මැණික් මලු

",ආදර ගඟුලෙහි,ආදරය,ගංගාව,ආදරය ගංගාවකි
7,Adara Mage Jesuni – ආදර මගෙ ජේසුනී,Rookantha Gunathilaka,රූකාන්ත ගුණතිලක,Inspirational,ආශ්වාදජනකයි,Rookantha Gunathilaka,රූකාන්ත ගුණතිලක,Rookantha Gunathilaka,රූකාන්ත ගුණතිලක,"
          
       


                           
 ආදර මගෙ ජේසුනී   කලකින් ඔබ අමතමී
                      
 කොහොමද ඔබගේ තතූ සමි‍ඳේ
                             
සිතු සිතු දේ මම කළා ඔබෙ දහමේ ගුණ නසා
                   
අද ඔබ ළඟ වැඳ වැටී හඬමී

 
                        
මා හසුවී මාරුතේ මඟ වැරදී මාවතේ
                     
මේ ලියමන ලියමි මා සමි‍ඳේ
                            
මහ කරුණා සාගරේ ඔබ පමණයි ආදරේ
                        
සැනසුම මට දෙන්නකෝ සමි‍ඳේ
   

  				
            
      
     
       
    

 
                            
ජේසුනි මම ආදරෙයි ඔබෙ පෙම ඊටත් වැඩියි
                     
සැමදා මම ණයගැතියි ඔබට
                               
ඔබ දුන් හැම දේටමත් මට දුන් නැති දේ හටත්
                      
තුති පුදනෙමි ආදරෙන් සමි‍ඳේ

   

",මහ කරුණා සාගරේ ,මහා කරුණාව ,සාගරය,මහා කරුණාව සාගරයකි
8,Adara Mal Pawane – ආදර මල් පවනේ,H.R.Jothipala,එච්.ආර්.ජෝතිපාල,Movie Songs,චිත්රපට ගීත,Dharmasiri Gamage,ධර්මසිරි ගමගේ,Premasiri Khemadasa,ප්‍රේමසිරි කේමදාස්,"  
              
              
             


                        
ආදර මල් පවනේ ඈ යන මේ ගමනේ 

කොහෙදෝ යන්නේ කව්දෝ දන්නේ 
             
දුලීකා…… දුලීකා  

 
  	               
වේදනා කන්දේ ඉඳලා   ආදරේ දැක අත වනලා 
  
සුළඟේ පාවී සුසුම් හෙළා වී 
       
දුලීකා… දුලීකා… 
    
  

චංචල සිතුවිල්ලේ මංගල ඕවිල්ලේ 

නැළ වී යන්නේ ඈ මෙසේ 
                        
පෙම් මල් උයනට දෝ   කඳුලැලි මුහුදට දෝ


",වේදනා කන්දේ ඉඳලා,වේදනාව,කන්ද ,වේදනාව කන්දකි
9,Adara Mal Wala – ආදර මල් වල,Kasun Kalhara,කල්හාරට සවන් දෙන්න,Current Songs,වත්මන් ගීත,Wasantha Kumara Kobawaka,වසන්ත කුමාර කොබවක,Navarathna Gamage,නවරත්න ගමගේ," 
     
        
      
      


            
ආදර මල් වල පාට කියන්නද
                         
ඒ වගෙ ලස්සන තව නෑ  ඒ වගෙ ලස්සන තව නෑ
              
මීදුම් පිණි පොද දෑස වසන් කළ
                    
සමනල් සිහිනය පිපුනා සමනල් සිහිනය පිපුනා

 
       
    
      
       
       
 
 
              
දේදුණු රේඛා දෑසම තවරා
                   
තවමත් මල් සිත බලා සිටිනවා
                 
මීදුම තවරා සුළඟට ඈතක සගවා තුන් සිත
                 
දෑස හොරෙන් ඈත සොයනව
              
අඳුර මැදින් එන්න සදලියේ

 
             
දේදුණු සායම දෑසම බොද කර
                    
මාලති යායක හැගිලා මාලති යායක හැගිලා
              
සීතල හිම කඳු  යායක පියමැන
                        ……
දෙව්ලිය සිහිනෙක වැඩියා දෙව්ලිය සිහිනෙක වැඩියා
   

",දේදුණු රේඛා දෑසම තවරා       ,ඇහිබැම,දේදුණු රේඛා,ඇහිබැම දේදුණු රේඛාවකි 
